Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,41.85416666666667,2021,3,17,2021-03,1
2021-03-18,41.904513888888886,2021,3,18,2021-03,1
2021-03-19,41.71180555555556,2021,3,19,2021-03,1
2021-03-20,47.80555555555556,2021,3,20,2021-03,1
2021-03-21,41.90625,2021,3,21,2021-03,1
2021-03-22,41.27951388888889,2021,3,22,2021-03,1
2021-03-23,41.53556827525953,2021,3,23,2021-03,1
2021-03-24,41.77185194302441,2021,3,24,2021-03,1
2021-03-25,42.61721139143731,2021,3,25,2021-03,1
2021-03-26,41.65957887359837,2021,3,26,2021-03,1
2021-03-27,42.123263888888886,2021,3,27,2021-03,1
2021-03-28,45.66493055555556,2021,3,28,2021-03,1
2021-03-29,41.18055555555556,2021,3,29,2021-03,1
2021-03-30,42.16840277777777,2021,3,30,2021-03,1
2021-03-31,41.86284722222222,2021,3,31,2021-03,1
2021-04-01,41.57465277777778,2021,4,1,2021-04,2
2021-04-02,42.18402777777778,2021,4,2,2021-04,2
2021-04-03,44.364583333333336,2021,4,3,2021-04,2
2021-04-04,42.30902777777778,2021,4,4,2021-04,2
2021-04-05,41.02604166666667,2021,4,5,2021-04,2
2021-04-06,41.34895833333333,2021,4,6,2021-04,2
2021-04-07,41.536458333333336,2021,4,7,2021-04,2
2021-04-08,41.782986111111114,2021,4,8,2021-04,2
2021-04-09,41.760416666666664,2021,4,9,2021-04,2
2021-04-10,41.677083333333336,2021,4,10,2021-04,2
2021-04-11,41.92534722222223,2021,4,11,2021-04,2
2021-04-12,43.38541666666667,2021,4,12,2021-04,2
2021-04-13,45.6875,2021,4,13,2021-04,2
2021-04-14,41.00347222222223,2021,4,14,2021-04,2
2021-04-15,41.32118055555556,2021,4,15,2021-04,2
2021-04-16,41.80381944444444,2021,4,16,2021-04,2
2021-04-17,46.90277777777778,2021,4,17,2021-04,2
2021-04-18,41.309027777777786,2021,4,18,2021-04,2
2021-04-19,41.56597222222222,2021,4,19,2021-04,2
2021-04-20,41.44965277777777,2021,4,20,2021-04,2
2021-04-21,41.52430555555556,2021,4,21,2021-04,2
2021-04-22,41.51909722222223,2021,4,22,2021-04,2
