Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,60.913194444444436,2021,3,17,2021-03,1
2021-03-18,61.118055555555564,2021,3,18,2021-03,1
2021-03-19,74.45294540229884,2021,3,19,2021-03,1
2021-03-20,75.86805555555556,2021,3,20,2021-03,1
2021-03-21,79.51967592592592,2021,3,21,2021-03,1
2021-03-22,74.5300925925926,2021,3,22,2021-03,1
2021-03-23,74.05208333333333,2021,3,23,2021-03,1
2021-03-24,74.07407407407406,2021,3,24,2021-03,1
2021-03-25,74.16203703703705,2021,3,25,2021-03,1
2021-03-26,74.34837962962962,2021,3,26,2021-03,1
2021-03-27,74.54629629629629,2021,3,27,2021-03,1
2021-03-28,79.05555555555556,2021,3,28,2021-03,1
2021-03-29,73.57986111111113,2021,3,29,2021-03,1
2021-03-30,74.14699074074075,2021,3,30,2021-03,1
2021-03-31,74.18171296296296,2021,3,31,2021-03,1
2021-04-01,74.26157407407408,2021,4,1,2021-04,2
2021-04-02,74.32986111111111,2021,4,2,2021-04,2
2021-04-03,74.24652777777779,2021,4,3,2021-04,2
2021-04-04,76.80902777777779,2021,4,4,2021-04,2
2021-04-05,73.32986111111111,2021,4,5,2021-04,2
2021-04-06,73.98958333333333,2021,4,6,2021-04,2
2021-04-07,73.79976851851852,2021,4,7,2021-04,2
2021-04-08,74.25925925925927,2021,4,8,2021-04,2
2021-04-09,74.00347222222223,2021,4,9,2021-04,2
2021-04-10,74.37384259259258,2021,4,10,2021-04,2
2021-04-11,74.64351851851852,2021,4,11,2021-04,2
2021-04-12,74.61921296296298,2021,4,12,2021-04,2
2021-04-13,75.72222222222221,2021,4,13,2021-04,2
2021-04-14,74.1886574074074,2021,4,14,2021-04,2
2021-04-15,73.95949074074075,2021,4,15,2021-04,2
2021-04-16,74.39467592592592,2021,4,16,2021-04,2
2021-04-17,78.38888888888889,2021,4,17,2021-04,2
2021-04-18,74.04282407407408,2021,4,18,2021-04,2
2021-04-19,74.0162037037037,2021,4,19,2021-04,2
2021-04-20,74.35416666666667,2021,4,20,2021-04,2
2021-04-21,74.30902777777779,2021,4,21,2021-04,2
2021-04-22,74.4201388888889,2021,4,22,2021-04,2
2021-04-23,74.49652777777779,2021,4,23,2021-04,2
2021-04-24,74.52546296296296,2021,4,24,2021-04,2
2021-04-25,74.63541666666667,2021,4,25,2021-04,2
2021-04-26,74.5636574074074,2021,4,26,2021-04,2
2021-04-27,75.07291666666667,2021,4,27,2021-04,2
2021-04-28,75.85185185185186,2021,4,28,2021-04,2
2021-04-29,77.86342592592594,2021,4,29,2021-04,2
2021-04-30,73.62499999999999,2021,4,30,2021-04,2
2021-05-01,74.3900462962963,2021,5,1,2021-05,3
2021-05-02,74.78819444444446,2021,5,2,2021-05,3
2021-05-03,74.06249999999999,2021,5,3,2021-05,3
2021-05-04,74.3414351851852,2021,5,4,2021-05,3
2021-05-05,77.90856481481482,2021,5,5,2021-05,3
2021-05-06,73.49768518518518,2021,5,6,2021-05,3
2021-05-07,75.06597222222221,2021,5,7,2021-05,3
2021-05-08,73.7199074074074,2021,5,8,2021-05,3
2021-05-09,74.17824074074075,2021,5,9,2021-05,3
2021-05-10,74.81481481481482,2021,5,10,2021-05,3
2021-05-11,74.50578703703704,2021,5,11,2021-05,3
2021-05-12,75.58564814814815,2021,5,12,2021-05,3
2021-05-13,74.05555555555556,2021,5,13,2021-05,3
2021-05-14,74.5023148148148,2021,5,14,2021-05,3
2021-05-15,74.84375,2021,5,15,2021-05,3
2021-05-16,74.90625,2021,5,16,2021-05,3
2021-05-17,76.86574074074075,2021,5,17,2021-05,3
2021-05-18,74.67592592592592,2021,5,18,2021-05,3
2021-05-19,74.9386574074074,2021,5,19,2021-05,3
2021-05-20,77.32060185185186,2021,5,20,2021-05,3
2021-05-21,75.46180555555554,2021,5,21,2021-05,3
2021-05-22,73.45833333333333,2021,5,22,2021-05,3
2021-05-23,74.02546296296295,2021,5,23,2021-05,3
2021-05-24,76.40277777777777,2021,5,24,2021-05,3
2021-05-25,73.83333333333333,2021,5,25,2021-05,3
2021-05-26,74.10532407407408,2021,5,26,2021-05,3
2021-05-27,81.13888888888889,2021,5,27,2021-05,3
2021-05-28,73.4375,2021,5,28,2021-05,3
2021-05-29,73.86111111111111,2021,5,29,2021-05,3
2021-05-30,74.33680555555556,2021,5,30,2021-05,3
2021-05-31,74.4525462962963,2021,5,31,2021-05,3
2021-06-01,74.64699074074075,2021,6,1,2021-06,4
2021-06-02,74.77662037037037,2021,6,2,2021-06,4
2021-06-03,75.49999999999999,2021,6,3,2021-06,4
2021-06-04,80.10185185185185,2021,6,4,2021-06,4
2021-06-05,73.66550925925925,2021,6,5,2021-06,4
2021-06-06,73.96180555555556,2021,6,6,2021-06,4
2021-06-07,74.35185185185186,2021,6,7,2021-06,4
2021-06-08,74.97569444444444,2021,6,8,2021-06,4
2021-06-09,74.7199074074074,2021,6,9,2021-06,4
2021-06-10,74.9050925925926,2021,6,10,2021-06,4
2021-06-11,74.74601787101788,2021,6,11,2021-06,4
2021-06-12,74.83333333333333,2021,6,12,2021-06,4
2021-06-13,75.39004629629629,2021,6,13,2021-06,4
2021-06-14,74.70601851851852,2021,6,14,2021-06,4
2021-06-15,74.5324074074074,2021,6,15,2021-06,4
2021-06-16,76.2199074074074,2021,6,16,2021-06,4
2021-06-17,73.45717592592592,2021,6,17,2021-06,4
2021-06-18,75.1875,2021,6,18,2021-06,4
2021-06-19,76.33217592592592,2021,6,19,2021-06,4
2021-06-20,73.62847222222221,2021,6,20,2021-06,4
2021-06-21,74.12847222222221,2021,6,21,2021-06,4
2021-06-22,74.41087962962963,2021,6,22,2021-06,4
2021-06-23,74.62847222222221,2021,6,23,2021-06,4
2021-06-24,74.4837962962963,2021,6,24,2021-06,4
2021-06-25,75.0636574074074,2021,6,25,2021-06,4
2021-06-26,74.92824074074075,2021,6,26,2021-06,4
2021-06-27,75.43981481481482,2021,6,27,2021-06,4
2021-06-28,75.91319444444444,2021,6,28,2021-06,4
2021-06-29,74.63078703703702,2021,6,29,2021-06,4
2021-06-30,74.55671296296296,2021,6,30,2021-06,4
2021-07-01,74.94907407407406,2021,7,1,2021-07,5
2021-07-02,74.5613425925926,2021,7,2,2021-07,5
2021-07-03,74.10069444444444,2021,7,3,2021-07,5
2021-07-04,73.5150462962963,2021,7,4,2021-07,5
2021-07-05,73.7824074074074,2021,7,5,2021-07,5
2021-07-06,73.83796296296296,2021,7,6,2021-07,5
2021-07-07,77.74305555555556,2021,7,7,2021-07,5
2021-07-08,75.73726851851852,2021,7,8,2021-07,5
2021-07-09,75.07638888888887,2021,7,9,2021-07,5
2021-07-10,74.20138888888889,2021,7,10,2021-07,5
2021-07-11,74.05902777777777,2021,7,11,2021-07,5
2021-07-12,76.2638888888889,2021,7,12,2021-07,5
2021-07-13,74.00231481481482,2021,7,13,2021-07,5
2021-07-14,74.62962962962963,2021,7,14,2021-07,5
2021-07-15,74.5173611111111,2021,7,15,2021-07,5
2021-07-16,73.4363425925926,2021,7,16,2021-07,5
2021-07-17,73.50904072779075,2021,7,17,2021-07,5
2021-07-18,73.90625,2021,7,18,2021-07,5
2021-07-19,74.09606481481481,2021,7,19,2021-07,5
2021-07-20,74.50231481481482,2021,7,20,2021-07,5
2021-07-21,74.83912037037037,2021,7,21,2021-07,5
2021-07-22,75.05092592592592,2021,7,22,2021-07,5
2021-07-23,75.22453703703704,2021,7,23,2021-07,5
2021-07-24,75.23842592592592,2021,7,24,2021-07,5
2021-07-25,75.46180555555554,2021,7,25,2021-07,5
2021-07-26,75.68298368298369,2021,7,26,2021-07,5
2021-07-27,75.70138888888889,2021,7,27,2021-07,5
2021-07-28,76.0925925925926,2021,7,28,2021-07,5
2021-07-29,76.32060185185186,2021,7,29,2021-07,5
2021-07-30,76.32284382284382,2021,7,30,2021-07,5
2021-07-31,76.49305555555556,2021,7,31,2021-07,5
